date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:45:28	48/48	---MCZ	200	added ('OK')	text/plain	etag:f84dd2eadf71d19ac07834f908eaa482	https://xcelpv48.godaddysites.com/robots.txt		(from )
23:45:28	135612/135612	---MCZ	200	added ('OK')	text/html	etag:28c78cb3bb9d59552a5c35a8e5eca371	https://xcelpv48.godaddysites.com/	C:/My%20Web%20Sites/Same/xcelpv48.godaddysites.com/index.html	(from )
23:45:29	463/463	---MCZ	200	added ('OK')	application/manifest+json	etag:2b9c5cd1ee986c0e39da9df8a9375fdd	https://xcelpv48.godaddysites.com/manifest.webmanifest	C:/My%20Web%20Sites/Same/xcelpv48.godaddysites.com/manifest.webmanifest	(from https://xcelpv48.godaddysites.com/)
23:45:30	32985/32985	---MCZ	200	added ('OK')	application/javascript	etag:a8b79a6f0484ca93c476b0e98440eba7	https://xcelpv48.godaddysites.com/sw.js	C:/My%20Web%20Sites/Same/xcelpv48.godaddysites.com/sw.js	(from https://xcelpv48.godaddysites.com/)
23:45:30	85869/85869	---MCZ	200	added ('OK')	text/html	etag:73f44661ddf39fd571c97a75ab7139d1	https://xcelpv48.godaddysites.com/services	C:/My%20Web%20Sites/Same/xcelpv48.godaddysites.com/services.html	(from https://xcelpv48.godaddysites.com/)
23:45:30	124556/124556	---MCZ	200	added ('OK')	text/html	etag:83d12dc9d27927b87b541aa95e0e3cf4	https://xcelpv48.godaddysites.com/stempedia	C:/My%20Web%20Sites/Same/xcelpv48.godaddysites.com/stempedia.html	(from https://xcelpv48.godaddysites.com/)
23:45:31	145642/145642	---MCZ	200	added ('OK')	text/html	etag:d37bab2f82e836d2851426d04378769f	https://xcelpv48.godaddysites.com/about-us	C:/My%20Web%20Sites/Same/xcelpv48.godaddysites.com/about-us.html	(from https://xcelpv48.godaddysites.com/)
23:45:31	86104/86104	---MCZ	200	added ('OK')	text/html	etag:5d4ff66488fbccf3f4e736362a1aba3d	https://xcelpv48.godaddysites.com/contact-us	C:/My%20Web%20Sites/Same/xcelpv48.godaddysites.com/contact-us.html	(from https://xcelpv48.godaddysites.com/)
23:45:31	40/40	---M--	302	error ('Found')	text/plain	date:Thu,%2023%20Mar%202023%2018:15:31%20GMT	https://xcelpv48.godaddysites.com/m/account	C:/My%20Web%20Sites/Same/xcelpv48.godaddysites.com/m/account	(from https://xcelpv48.godaddysites.com/)
23:45:31	80836/80836	---MCZ	200	added ('OK')	text/html	etag:8c496a4b027ee4840961c12b0ba93df9	https://xcelpv48.godaddysites.com/m/login?r=%2Fm%2Faccount	C:/My%20Web%20Sites/Same/xcelpv48.godaddysites.com/m/logina8b9.html	(from https://xcelpv48.godaddysites.com/)
23:45:32	82428/82428	---MCZ	200	added ('OK')	text/html	etag:fb3a751c83e7c0f9b58fc842b42df608	https://xcelpv48.godaddysites.com/m/create-account	C:/My%20Web%20Sites/Same/xcelpv48.godaddysites.com/m/create-account.html	(from https://xcelpv48.godaddysites.com/)
23:45:32	41/41	---M--	302	error ('Found')	text/plain	date:Thu,%2023%20Mar%202023%2018:15:31%20GMT	https://xcelpv48.godaddysites.com/m/bookings	C:/My%20Web%20Sites/Same/xcelpv48.godaddysites.com/m/bookings	(from https://xcelpv48.godaddysites.com/)
23:45:32	80836/80836	---MCZ	200	added ('OK')	text/html	etag:8c496a4b027ee4840961c12b0ba93df9	https://xcelpv48.godaddysites.com/m/login?r=%2Fm%2Fbookings	C:/My%20Web%20Sites/Same/xcelpv48.godaddysites.com/m/login55d2.html	(from https://xcelpv48.godaddysites.com/)
23:45:32	88091/88091	---MCZ	200	added ('OK')	text/html	etag:ecd3e001bc12df819d25eab30bc33a22	https://xcelpv48.godaddysites.com/privacy-policy	C:/My%20Web%20Sites/Same/xcelpv48.godaddysites.com/privacy-policy.html	(from https://xcelpv48.godaddysites.com/)
23:45:36	60978/60978	---M-Z	200	added ('OK')	application/javascript	etag:%229a2604de9523075aa0cf4b7d8bf8caaf%22	http://img1.wsimg.com/blobby/go/8e320b80-659d-4f80-b0ac-2aa5aa91f0c2/gpub/17731a452778c1d1/script.js	C:/My%20Web%20Sites/Same/img1.wsimg.com/blobby/go/8e320b80-659d-4f80-b0ac-2aa5aa91f0c2/gpub/17731a452778c1d1/script.js	(from https://xcelpv48.godaddysites.com/)
23:45:39	43126/43126	---M-Z	200	added ('OK')	application/javascript	etag:%229ab16ec891563d50afd7617b631485c6%22	http://img1.wsimg.com/blobby/go/8e320b80-659d-4f80-b0ac-2aa5aa91f0c2/gpub/e37115dff5d40dd0/script.js	C:/My%20Web%20Sites/Same/img1.wsimg.com/blobby/go/8e320b80-659d-4f80-b0ac-2aa5aa91f0c2/gpub/e37115dff5d40dd0/script.js	(from https://xcelpv48.godaddysites.com/)
